#logMs GSMF_smooth GSMF Integral_GSMF GSMF_original logMhalo logvmax SHAM_logMhalo SHAM_logvmax
        9.02344        -2.33168         -2.3462        -2.34431        -2.33168         11.3747         2.02864         11.3723         2.02794            1
        9.04688        -2.33344        -2.34741        -2.34782        -2.33344         11.3827         2.03109         11.3805         2.03045            2
        9.07031        -2.33525        -2.34914        -2.35152        -2.33525         11.3909         2.03357          11.389           2.033            3
        9.09375        -2.33873        -2.35142        -2.35542        -2.33873         11.3991         2.03608         11.3975         2.03558            4
        9.11719         -2.3453        -2.35427        -2.35952         -2.3453         11.4075         2.03862         11.4061         2.03818            5
        9.14062        -2.35444        -2.35771        -2.36383        -2.35444          11.416         2.04118         11.4146         2.04077            6
        9.16406        -2.36459        -2.36176        -2.36836        -2.36459         11.4246         2.04377         11.4231         2.04335            7
         9.1875         -2.3742        -2.36643        -2.37313         -2.3742         11.4331         2.04637         11.4316         2.04592            8
        9.21094        -2.38172         -2.3717        -2.37813        -2.38172         11.4418         2.04899           11.44         2.04847            9
        9.23438        -2.38683        -2.37753        -2.38338        -2.38683         11.4505         2.05163         11.4485         2.05104           10
        9.25781        -2.39045        -2.38387        -2.38885        -2.39045         11.4592         2.05427         11.4571         2.05362           11
        9.28125        -2.39361        -2.39067        -2.39453        -2.39361          11.468         2.05692         11.4657         2.05623           12
        9.30469        -2.39729        -2.39784        -2.40039        -2.39729         11.4767         2.05957         11.4744         2.05886           13
        9.32812         -2.4022         -2.4053        -2.40641         -2.4022         11.4855         2.06223         11.4832         2.06152           14
        9.35156        -2.40832        -2.41295        -2.41254        -2.40832         11.4943         2.06488         11.4919         2.06419           15
          9.375        -2.41555         -2.4207        -2.41874        -2.41555         11.5031         2.06754         11.5009         2.06686           16
        9.39844        -2.42377        -2.42843        -2.42496        -2.42377         11.5118          2.0702         11.5097         2.06954           17
        9.42188        -2.43281        -2.43605        -2.43115        -2.43281         11.5207         2.07286         11.5185         2.07221           18
        9.44531        -2.44205        -2.44346        -2.43726        -2.44205         11.5294         2.07551         11.5273         2.07487           19
        9.46875        -2.45075        -2.45056        -2.44323        -2.45075         11.5382         2.07818         11.5361         2.07752           20
        9.49219        -2.45816        -2.45726        -2.44904        -2.45816          11.547         2.08084         11.5448         2.08017           21
        9.51562        -2.46363        -2.46352        -2.45462        -2.46363         11.5559         2.08352         11.5536         2.08283           22
        9.53906        -2.46731        -2.46927        -2.45994        -2.46731         11.5648          2.0862         11.5625         2.08551           23
         9.5625        -2.46988        -2.47449        -2.46498        -2.46988         11.5737          2.0889         11.5714         2.08822           24
        9.58594        -2.47204        -2.47919        -2.46971        -2.47204         11.5827         2.09162         11.5805         2.09096           25
        9.60938        -2.47446        -2.48335         -2.4741        -2.47446         11.5918         2.09436         11.5897         2.09374           26
        9.63281        -2.47745        -2.48703        -2.47816        -2.47745          11.601         2.09712         11.5991         2.09655           27
        9.65625         -2.4808        -2.49024        -2.48187         -2.4808         11.6103         2.09992         11.6085          2.0994           28
        9.67969        -2.48427        -2.49305        -2.48524        -2.48427         11.6196         2.10275          11.618         2.10228           29
        9.70312        -2.48763        -2.49549        -2.48827        -2.48763         11.6291         2.10562         11.6277         2.10519           30
        9.72656        -2.49066        -2.49761        -2.49098        -2.49066         11.6388         2.10852         11.6374         2.10814           31
           9.75        -2.49326        -2.49945        -2.49336        -2.49326         11.6485         2.11147         11.6474         2.11113           32
        9.77344         -2.4953        -2.50104        -2.49545         -2.4953         11.6584         2.11447         11.6574         2.11416           33
        9.79688        -2.49669        -2.50242        -2.49726        -2.49669         11.6685         2.11752         11.6676         2.11725           34
        9.82031        -2.49739         -2.5036         -2.4988        -2.49739         11.6788         2.12063         11.6781         2.12039           35
        9.84375        -2.49774        -2.50459        -2.50009        -2.49774         11.6893         2.12379         11.6887         2.12359           36
        9.86719        -2.49823        -2.50539        -2.50115        -2.49823         11.7001         2.12701         11.6995         2.12687           37
        9.89062        -2.49935          -2.506          -2.502        -2.49935         11.7109          2.1303         11.7106         2.13021           38
        9.91406        -2.50155        -2.50642        -2.50267        -2.50155         11.7221         2.13366         11.7219         2.13361           39
         9.9375        -2.50453        -2.50664        -2.50316        -2.50453         11.7335         2.13709         11.7334         2.13707           40
        9.96094        -2.50744        -2.50666        -2.50352        -2.50744         11.7451         2.14061         11.7451         2.14059           41
        9.98438         -2.5094        -2.50648        -2.50375         -2.5094         11.7571         2.14421          11.757         2.14417           42
        10.0078        -2.50955        -2.50611        -2.50389        -2.50955         11.7693          2.1479         11.7691         2.14784           43
        10.0312         -2.5078        -2.50556        -2.50398         -2.5078         11.7819         2.15169         11.7817          2.1516           44
        10.0547        -2.50521        -2.50486        -2.50404        -2.50521         11.7948         2.15558         11.7945         2.15548           45
        10.0781        -2.50293        -2.50405        -2.50412        -2.50293         11.8082         2.15959         11.8078         2.15948           46
        10.1016        -2.50214        -2.50315        -2.50425        -2.50214         11.8219         2.16371         11.8216         2.16362           47
         10.125        -2.50354        -2.50224        -2.50448        -2.50354          11.836         2.16796         11.8357         2.16786           48
        10.1484         -2.5063        -2.50138        -2.50486         -2.5063         11.8506         2.17234         11.8502         2.17221           49
        10.1719        -2.50928        -2.50063        -2.50543        -2.50928         11.8656         2.17687         11.8649         2.17666           50
        10.1953        -2.51134         -2.5001        -2.50625        -2.51134         11.8811         2.18154           11.88         2.18122           51
        10.2188        -2.51154        -2.49985        -2.50736        -2.51154         11.8972         2.18637         11.8957         2.18591           52
        10.2422         -2.5103            -2.5        -2.50881         -2.5103         11.9138         2.19137         11.9118         2.19076           53
